Name,Specialty,Image,Profile Link
Aafia Tariq Butt,General Paediatrics,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/238/Aafia%20Butt.jpeg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=238&Name=Aafia Tariq Butt&page=findadoctor
Aamna Nazish Iqbal,Family Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/104/Slide14.JPG,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=104&Name=Aamna Nazish Iqbal&page=findadoctor
Aasma Naz,Speech and Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/503/Asma.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=503&Name=Aasma Naz&page=findadoctor
Abdul Baqi,Cardiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/308/Dr-Baqi.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=308&Name=Abdul Baqi&page=findadoctor
Abdul Monem,General Anaesthesia,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/412/Dr%20Abdul%20Monem.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=412&Name=Abdul Monem&page=findadoctor
Abdul Ahad Chhotani,Emergency Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/147/ahad.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=147&Name=Abdul Ahad Chhotani&page=findadoctor
Abdul Rehman Alvi,General Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/10/Dr-Rehman-Alvi.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=10&Name=Abdul Rehman Alvi&page=findadoctor
Abdul Rehman Qureshi,Nephrology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/620/Dr-Abdul-Rehman.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=620&Name=Abdul Rehman Qureshi&page=findadoctor
Abdul Sami Memon,Ophthalmology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/151/Dr-Sami.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=151&Name=Abdul Sami Memon&page=findadoctor
Abdullah Bin Khalid,Gastroenterology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=321&Name=Abdullah Bin Khalid&page=findadoctor
Abid Hussain Laghari,Cardiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/307/Dr%20Abid%20Laghari.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=307&Name=Abid Hussain Laghari&page=findadoctor
Abid Ali Jamali,Paediatric Emergency,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/148/abid%20jamali.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=148&Name=Abid Ali Jamali&page=findadoctor
Abida Khalil Sattar,Breast Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/29/43.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=29&Name=Abida Khalil Sattar&page=findadoctor
Adeeba Zaki,Medical Oncology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/164/12.%20ADZK.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=164&Name=Adeeba Zaki&page=findadoctor
Adeel Ur Rehman,Gastroenterology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=249&Name=Adeel Ur Rehman&page=findadoctor
Adeel Memon,Psychiatry,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=534&Name=Adeel Memon&page=findadoctor
Adil Aziz,Internal Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/262/Dr-Adil-Aziz.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=262&Name=Adil Aziz&page=findadoctor
Adina Rihab Sheikh Sajjad,General Paediatrics,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/222/Adnan.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=222&Name=Adina Rihab Sheikh Sajjad&page=findadoctor
Adnan Mirza,Paediatric Neonatology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/225/Adnan-Mirza.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=225&Name=Adnan Mirza&page=findadoctor
Afia Zafar,Microbiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/461/AZ.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=461&Name=Afia Zafar&page=findadoctor
Afshan Abro,Physiotherapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/493/Afshan.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=493&Name=Afshan Abro&page=findadoctor
Aftab Ahmed Qureshi,Family Medicine,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=88&Name=Aftab Ahmed Qureshi&page=findadoctor
Ahmad Nadeem Abbasi,Radiation Oncology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/175/19.%20ANAB.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=175&Name=Ahmad Nadeem Abbasi&page=findadoctor
Ahmed Maqsood Burq,Ophthalmology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/158/Dr-Ahmed-Barq.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=158&Name=Ahmed Maqsood Burq&page=findadoctor
Ahsan Ali Khan,Neuro Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/39/63.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=39&Name=Ahsan Ali Khan&page=findadoctor
Ainan Arshad,Internal Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/278/Dr-Ainan-Arshad.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=278&Name=Ainan Arshad&page=findadoctor
Aisha Ambreen,Palliative Care,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/180/6.%20AAMB.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=180&Name=Aisha Ambreen&page=findadoctor
Aisha Khan,Paediatric Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/228/Aisha.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=228&Name=Aisha Khan&page=findadoctor
Aisha Ilyas,Infectious Diseases,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/260/Dr-Aisha-Ilyas.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=260&Name=Aisha Ilyas&page=findadoctor
Aisha Sheikh,Endocrinology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/284/Dr-Aisha-Sheikh.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=284&Name=Aisha Sheikh&page=findadoctor
Aisha Noorullah,Psychiatry,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/514/Slide20.JPG,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=514&Name=Aisha Noorullah&page=findadoctor
Ajay Kumar,Psychiatry,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=532&Name=Ajay Kumar&page=findadoctor
Akbar Jaleel Zubairi,Orthopaedic Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/47/Dr-Akbar.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=47&Name=Akbar Jaleel Zubairi&page=findadoctor
Ali Sadiq,Dentistry,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/74/17.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=74&Name=Ali Sadiq&page=findadoctor
Ali Faisal Saleem,Paediatric Infectious Diseases,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/202/Ali-Faisal.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=202&Name=Ali Faisal Saleem&page=findadoctor
Ali Shabbir Hussain,Paediatric Neonatology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/212/Ali-Shabbir.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=212&Name=Ali Shabbir Hussain&page=findadoctor
Ali Bin Sarwar Zubairi,Pulmonology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/316/Dr-Ali-Bin-Zubairi.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=316&Name=Ali Bin Sarwar Zubairi&page=findadoctor
Ali Sarfraz Siddiqui,Pain Medicine â€“ Anaesthesiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/419/Dr.%20Ali%20Sarfaraz%20Siddiqui.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=419&Name=Ali Sarfraz Siddiqui&page=findadoctor
Aliya Ahmed,General Anaesthesia,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/403/Dr.%20Aliya.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=403&Name=Aliya Ahmed&page=findadoctor
Aliya Begum Aziz,Obstetrics and Gynaecology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/379/Dr.%20Aliya.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=379&Name=Aliya Begum Aziz&page=findadoctor
Alka Rani,Histopathology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/598/AR.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=598&Name=Alka Rani&page=findadoctor
Altaf Ali Laghari,Neuro Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/82/67.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=82&Name=Altaf Ali Laghari&page=findadoctor
Amber Sabeen,Internal Medicine,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=264&Name=Amber Sabeen&page=findadoctor
Amber Amir Ali,Speech and Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/576/Amber.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=576&Name=Amber Amir Ali&page=findadoctor
Ambreen Bano,Speech and Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/636/Ambreen-Bano.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=636&Name=Ambreen Bano&page=findadoctor
Amin Ali,General Paediatrics,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/618/Dr-Amin.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=618&Name=Amin Ali&page=findadoctor
Amna Subhan Butt,Gastroenterology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/251/Dr-Amna-Subhan.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=251&Name=Amna Subhan Butt&page=findadoctor
Amna Hamid,Nephrology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/611/Dr-Amna-Hamid.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=611&Name=Amna Hamid&page=findadoctor
Anam Khan,Radiology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=535&Name=Anam Khan&page=findadoctor
Aneela Darbar,Neuro Surgery,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=58&Name=Aneela Darbar&page=findadoctor
Anum Aziz,Obstetrics and Gynaecology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/585/Dr.%20Anum.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=585&Name=Anum Aziz&page=findadoctor
Anwar Suhail,ENT (Otolaryngology),https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=53&Name=Anwar Suhail&page=findadoctor
Anwar Ahmed,Radiology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=536&Name=Anwar Ahmed&page=findadoctor
Areej Ameen,Speech and Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/639/Areej_Ameen.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=639&Name=Areej Ameen&page=findadoctor
Arif Mateen,Paediatric Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/11/Dr-Arif.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=11&Name=Arif Mateen&page=findadoctor
Armeen Umer Godil,Clinical Psychology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=518&Name=Armeen Umer Godil&page=findadoctor
Arshalooz Jamila Rahman,General Paediatrics,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/197/Arshalooz.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=197&Name=Arshalooz Jamila Rahman&page=findadoctor
Asad Latif,General Anaesthesia,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/398/Dr%20Asad%20Latif.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=398&Name=Asad Latif&page=findadoctor
Asghar Nasir,Molecular Pathology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/475/AN.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=475&Name=Asghar Nasir&page=findadoctor
Asghar Javaid,Microbiology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=477&Name=Asghar Javaid&page=findadoctor
